"path","top_level","category","subsystem","size_bytes","last_write_utc","extension","action","rationale","risk","evidence","owner","notes","bucket"
".dockerignore",".dockerignore","misc","unclassified","179","2026-03-03T22:18:02Z",".dockerignore","TBD","","","","","","repo_meta_docs"
".env",".env","misc","unclassified","1699","2026-03-05T19:59:24Z",".env","TBD","","","","","","local_secret_env_local"
".env.example",".env.example","misc","unclassified","1541","2026-03-05T04:34:08Z",".example","TBD","","","","","","repo_meta_docs"
".github/workflows/ci-gates.yml",".github","misc","unclassified","1373","2026-03-05T06:26:46Z",".yml","TBD","","","","","","repo_meta_docs"
".github/workflows/narrative-eval-smoke.yml",".github","misc","unclassified","796","2026-03-03T19:22:07Z",".yml","TBD","","","","","","repo_meta_docs"
".gitignore",".gitignore","misc","unclassified","2318","2026-03-05T16:40:20Z",".gitignore","TBD","","","","","","repo_meta_docs"
".pytest_cache/.gitignore",".pytest_cache","cache","unclassified","39","2026-03-01T23:32:29Z",".gitignore","TBD","","","","","","generated_cache_local"
".pytest_cache/CACHEDIR.TAG",".pytest_cache","cache","unclassified","191","2026-03-01T23:32:29Z",".tag","TBD","","","","","","generated_cache_local"
".pytest_cache/README.md",".pytest_cache","cache","unclassified","310","2026-03-01T23:32:29Z",".md","TBD","","","","","","generated_cache_local"
".pytest_cache/v/cache/lastfailed",".pytest_cache","cache","unclassified","309","2026-03-06T03:10:50Z","","TBD","","","","","","generated_cache_local"
".pytest_cache/v/cache/nodeids",".pytest_cache","cache","unclassified","59696","2026-03-06T03:12:55Z","","TBD","","","","","","generated_cache_local"
".pytest_cache/v/cache/stepwise",".pytest_cache","cache","unclassified","2","2026-03-06T03:12:55Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/.gitignore",".ruff_cache","cache","unclassified","35","2026-03-03T17:30:29Z",".gitignore","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/12124027813932601208",".ruff_cache","cache","unclassified","90","2026-03-03T19:05:26Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/13362189496830168725",".ruff_cache","cache","unclassified","330","2026-03-05T06:25:30Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/1358587066637825944",".ruff_cache","cache","unclassified","83","2026-03-05T02:50:16Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/14075683406832052993",".ruff_cache","cache","unclassified","158","2026-03-05T06:25:30Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/15195832844969320120",".ruff_cache","cache","unclassified","83","2026-03-05T02:49:48Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/15418253109151165427",".ruff_cache","cache","unclassified","1121","2026-03-05T21:05:32Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/15718800684560745728",".ruff_cache","cache","unclassified","549","2026-03-05T21:05:32Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/17941267733689413188",".ruff_cache","cache","unclassified","2571","2026-03-05T02:50:16Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/2131388722380592938",".ruff_cache","cache","unclassified","93","2026-03-05T21:05:32Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/3211644365119873388",".ruff_cache","cache","unclassified","370","2026-03-05T08:12:44Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/3668334110284280255",".ruff_cache","cache","unclassified","755","2026-03-05T21:05:32Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/4373722564558468982",".ruff_cache","cache","unclassified","151","2026-03-05T07:44:18Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/565486993368318085",".ruff_cache","cache","unclassified","2612","2026-03-05T21:05:54Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/6171353496683901415",".ruff_cache","cache","unclassified","99","2026-03-05T04:18:59Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/6180911048502007521",".ruff_cache","cache","unclassified","116","2026-03-05T06:25:30Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/8597656846160982137",".ruff_cache","cache","unclassified","2571","2026-03-05T02:49:48Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/0.15.4/9227702319100510969",".ruff_cache","cache","unclassified","83","2026-03-05T04:42:46Z","","TBD","","","","","","generated_cache_local"
".ruff_cache/CACHEDIR.TAG",".ruff_cache","cache","unclassified","43","2026-03-03T17:30:29Z",".tag","TBD","","","","","","generated_cache_local"
"__pycache__/main.cpython-312.pyc","__pycache__","cache","unclassified","7293","2026-03-05T08:28:26Z",".pyc","TBD","","","","","","generated_cache_local"
"alembic.ini","alembic.ini","misc","unclassified","3598","2026-03-02T03:56:39Z",".ini","TBD","","","","","","source_runtime_tooling"
"alembic/__pycache__/env.cpython-312.pyc","alembic","migrations","unclassified","3091","2026-03-05T08:28:27Z",".pyc","TBD","","","","","","source_runtime_tooling"
"alembic/env.py","alembic","migrations","unclassified","2456","2026-03-02T17:37:53Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/README","alembic","migrations","unclassified","38","2026-03-02T03:56:30Z","","TBD","","","","","","source_runtime_tooling"
"alembic/script.py.mako","alembic","migrations","unclassified","635","2026-03-02T03:56:30Z",".mako","TBD","","","","","","source_runtime_tooling"
"alembic/versions/__pycache__/6e4df98f7250_add_world_events_table.cpython-312.pyc","alembic","migrations","unclassified","2348","2026-03-05T08:28:27Z",".pyc","TBD","","","","","","source_runtime_tooling"
"alembic/versions/__pycache__/9c7a6d5b4e31_add_world_graph_tables.cpython-312.pyc","alembic","migrations","unclassified","7323","2026-03-05T08:28:27Z",".pyc","TBD","","","","","","source_runtime_tooling"
"alembic/versions/__pycache__/a4d2b9c7e1f0_add_storylet_effects_column.cpython-312.pyc","alembic","migrations","unclassified","1558","2026-03-05T08:28:27Z",".pyc","TBD","","","","","","source_runtime_tooling"
