"bucket","count","size_mb"
"generated_dependency_vendor_local","2541","65.91"
"generated_playtest_artifact_relocate","460","8.51"
"planning_archive_history","199","0.42"
"source_tests","178","2.07"
"source_runtime_tooling","108","0.94"
"generated_cache_local","87","0.89"
"source_frontend","45","0.27"
"planning_active_docs","39","0.06"
"report_output_artifact_relocate","24","1.08"
"source_harness_tooling","15","0.39"
"generated_log_artifact_relocate","15","0.08"
"repo_meta_docs","9","0.02"
"data_asset","5","0.08"
"local_db_artifact_relocate","3","2.86"
"generated_build_output_local","3","0.22"
"local_secret_env_local","1","0"
