flag_name,env_alias,code_default,effective_current,override_detected,source_hint
enable_constellation,WW_ENABLE_CONSTELLATION,false,true,yes,env_or_.env
enable_runtime_adaptation,,true,true,no,code_default_or_env_match
enable_runtime_storylet_synthesis,,true,true,no,code_default_or_env_match
enable_simulation_tick,WW_ENABLE_SIMULATION_TICK,true,true,no,code_default_or_env_match
enable_story_smoothing,WW_ENABLE_STORY_SMOOTHING,false,false,no,code_default_or_env_match
enable_story_deepening,WW_ENABLE_STORY_DEEPENING,false,false,no,code_default_or_env_match
enable_staged_action_pipeline,WW_ENABLE_STAGED_ACTION_PIPELINE,true,true,no,code_default_or_env_match
enable_strict_action_validation,WW_ENABLE_STRICT_ACTION_VALIDATION,true,true,no,code_default_or_env_match
enable_strict_three_layer_architecture,WW_ENABLE_STRICT_THREE_LAYER_ARCHITECTURE,false,false,no,code_default_or_env_match
enable_frontier_prefetch,WW_ENABLE_FRONTIER_PREFETCH,true,true,no,code_default_or_env_match
enable_assistive_spatial,WW_ENABLE_ASSISTIVE_SPATIAL,true,true,no,code_default_or_env_match
enable_spatial_auto_fixes,WW_ENABLE_SPATIAL_AUTO_FIXES,false,false,no,code_default_or_env_match
enable_jit_beat_generation,WW_ENABLE_JIT_BEAT_GENERATION,true,true,no,code_default_or_env_match
enable_turn_endpoint,WW_ENABLE_TURN_ENDPOINT,false,false,no,code_default_or_env_match
enable_motif_referee_audit,WW_ENABLE_MOTIF_REFEREE_AUDIT,true,true,no,code_default_or_env_match
enable_world_graph_extraction,,true,true,no,code_default_or_env_match
enable_world_projection,,true,true,no,code_default_or_env_match
enable_v3_projection_expansion,WW_ENABLE_V3_PROJECTION_EXPANSION,true,true,no,code_default_or_env_match
enable_v3_player_hint_channel,WW_ENABLE_V3_PLAYER_HINT_CHANNEL,true,true,no,code_default_or_env_match
enable_v3_projection_seeded_narration,WW_ENABLE_V3_PROJECTION_SEEDED_NARRATION,true,true,no,code_default_or_env_match
enable_legacy_test_seeds,WW_ENABLE_LEGACY_TEST_SEEDS,false,false,no,code_default_or_env_match
enable_dev_reset,WW_ENABLE_DEV_RESET,true,true,no,code_default_or_env_match
