module,path,statements,covered_lines,missing_lines,coverage_percent,coverage_band,executed_in_tests,runtime_importer_count,test_importer_count,test_module_string_mentions,test_route_pattern_hits,static_evidence_tier,final_evidence_tier,weak_reachability_candidate,runtime_importer_examples,test_importer_examples,route_examples
src.api.author.generate,src/api/author/generate.py,82,40,42,48.78,low,yes,1,0,0,3,strong,strong,no,src.api.author.__init__,,/author/generate-intelligent:2; /author/storylet-analysis:1; /author/generate-targeted:0
src.api.author.populate,src/api/author/populate.py,58,33,25,56.90,medium,yes,1,0,1,6,strong,strong,no,src.api.author.__init__,,/author/populate:6
src.api.author.suggest,src/api/author/suggest.py,28,12,16,42.86,low,yes,1,0,0,4,strong,strong,no,src.api.author.__init__,,/author/suggest:4
src.api.author.world,src/api/author/world.py,35,28,7,80.00,high,yes,1,0,0,6,strong,strong,no,src.api.author.__init__,,/author/debug:1; /author/generate-world:5
src.api.game.action,src/api/game/action.py,128,106,22,82.81,high,yes,1,0,10,47,strong,strong,no,src.api.game.__init__,,/api/action:39; /api/action/stream:8
src.api.game.metrics,src/api/game/metrics.py,9,8,1,88.89,high,yes,1,0,0,1,strong,strong,no,src.api.game.__init__,,/api/debug/metrics:1
src.api.game.prefetch,src/api/game/prefetch.py,18,16,2,88.89,high,yes,1,0,4,6,strong,strong,no,src.api.game.__init__,,/api/prefetch/frontier:3; /api/prefetch/status/{session_id}:3
src.api.game.settings_api,src/api/game/settings_api.py,79,79,0,100.00,high,yes,1,0,0,17,strong,strong,no,src.api.game.__init__,,/api/settings/readiness:4; /api/settings/key:2; /api/models:1; /api/model:5; /api/model:5
src.api.game.spatial,src/api/game/spatial.py,181,134,47,74.03,medium,yes,1,0,0,16,strong,strong,no,src.api.game.__init__,,/api/spatial/navigation/{session_id}:4; /api/spatial/move/{session_id}:6; /api/spatial/map:2; /api/spatial/assign-positions:4
src.api.game.state,src/api/game/state.py,222,181,41,81.53,high,yes,1,0,6,46,strong,strong,no,src.api.game.__init__,,/api/state/{session_id}:16; /api/state/{session_id}/relationship:4; /api/state/{session_id}/item:5; /api/state/{session_id}/environment:4; /api/state/{session_id}/goal:4; /api/state/{session_id}/goal/milestone:1; /api/session/bootstrap:4; /api/cleanup-sessions:4
src.api.game.story,src/api/game/story.py,53,50,3,94.34,high,yes,1,0,19,110,strong,strong,no,src.api.game.__init__,,/api/next:110
